year,United States,Russian Federation,United Kingdom,France,China,India,Pakistan,North Korea
1945,3,NA,NA,NA,NA,NA,NA,NA
1946,2,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA
1948,3,NA,NA,NA,NA,NA,NA,NA
1949,NA,1,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA
1951,16,2,NA,NA,NA,NA,NA,NA
1952,10,NA,1,NA,NA,NA,NA,NA
1953,11,5,2,NA,NA,NA,NA,NA
1954,6,10,NA,NA,NA,NA,NA,NA
1955,18,6,NA,NA,NA,NA,NA,NA
1956,18,9,6,NA,NA,NA,NA,NA
1957,32,16,7,NA,NA,NA,NA,NA
1958,77,34,5,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,3,NA,NA,NA,NA
1961,10,59,NA,2,NA,NA,NA,NA
1962,98,79,NA,1,NA,NA,NA,NA
1963,49,NA,NA,3,NA,NA,NA,NA
1964,50,9,NA,3,1,NA,NA,NA
1965,40,15,NA,4,1,NA,NA,NA
1966,49,18,NA,6,3,NA,NA,NA
1967,42,17,NA,3,2,NA,NA,NA
1968,72,19,NA,5,1,NA,NA,NA
1969,61,19,NA,NA,2,NA,NA,NA
1970,60,16,NA,8,1,NA,NA,NA
1971,28,25,NA,5,1,NA,NA,NA
1972,32,24,NA,4,2,NA,NA,NA
1973,27,17,NA,5,1,NA,NA,NA
1974,26,21,NA,8,1,1,NA,NA
1975,23,19,NA,2,1,NA,NA,NA
1976,21,21,NA,4,4,NA,NA,NA
1977,23,24,NA,7,1,NA,NA,NA
1978,22,32,NA,10,3,NA,NA,NA
1979,15,35,NA,10,1,NA,NA,NA
1980,17,24,NA,11,1,NA,NA,NA
1981,17,21,NA,12,NA,NA,NA,NA
1982,19,19,NA,9,1,NA,NA,NA
1983,20,25,NA,9,2,NA,NA,NA
1984,20,28,NA,8,2,NA,NA,NA
1985,18,10,NA,8,NA,NA,NA,NA
1986,15,NA,NA,8,NA,NA,NA,NA
1987,17,23,NA,8,1,NA,NA,NA
1988,18,16,NA,8,1,NA,NA,NA
1989,16,7,NA,8,NA,NA,NA,NA
1990,11,1,NA,6,2,NA,NA,NA
1991,10,NA,NA,6,NA,NA,NA,NA
1992,8,NA,NA,NA,2,NA,NA,NA
1993,NA,NA,NA,NA,1,NA,NA,NA
1994,NA,NA,NA,NA,2,NA,NA,NA
1995,NA,NA,NA,5,2,NA,NA,NA
1996,NA,NA,NA,1,2,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,5,2,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,1
2007,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,1
2010,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,1
2014,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,NA,NA,NA,NA,NA,2
2017,NA,NA,NA,NA,NA,NA,NA,1
