date,result,name_1,name_2,gender_1,gender_2
2/22/1966,recovered safely after a 22-day flight,Ugolyok / Snezhok,Veterok / Bzdunok,Male,Male
3/25/1961,"one orbit, recovered safely",Zvezdochka,NA,Female,NA
3/9/1961,"one orbit, recovered safely",Chernuskha,NA,Female,NA
12/22/1960,"upper stage failed, dogs recovered after a suborbital flight",Shutka,Kometka,Female,Female
12/1/1960,"spent one day in orbit, capsule was destroyed, both dogs died",Mushka,Pchyolka,Female,Female
9/22/1960,recovered safely,Kusachka / Otvazhnaya,Neva,Female,Female
9/16/1960,recovered safely,Malyok,Palma-2,Male,Female
8/19/1960,"spent one day in orbit, recovered safely",Belka,Strelka,Female,Female
7/28/1960,"exploded during launch, both dogs died",Lisichka,Bars / Chaika,Female,Female
6/24/1960,recovered safely,Kusachka / Otvazhnaya,Snezhinka / Zhemchuzhnaya,Female,Female
6/15/1960,recovered safely,Kusachka / Otvazhnaya,Malyok,Female,Male
7/10/1959,recovered safely,Kusachka / Otvazhnaya,Snezhinka / Zhemchuzhnaya,Female,Female
7/2/1959,recovered safely,Kusachka / Otvazhnaya,Snezhinka / Zhemchuzhnaya,Female,Female
10/31/1958,"parachute failed, both dogs died",Knopka,Zhulba,Female,Female
9/19/1958,recovered safely,Damka-2,Kozyavka,Female,Female
8/27/1958,recovered safely,Belyanka,Pestraya,Female,Female
8/13/1958,recovered safely,Palma-2,Kusachka / Otvazhnaya,Female,Female
8/2/1958,recovered safely,Palma-2,Kusachka / Otvazhnaya,Female,Female
2/21/1958,"cabin decompression, both dogs died",Palma,Pushok,Female,Male
11/3/1957,"no recovery system, died in space",Laika,NA,Female,NA
9/6/1957,recovered safely,Belka,Modnitsa,Female,Female
8/31/1957,recovered safely,Belka,Damka-2,Female,Female
8/25/1957,recovered safely,Belka,Modnitsa,Female,Female
5/24/1957,"cabin decompression, both dogs died",Dzhoyna,Ryzhaya,Female,Female
5/16/1957,recovered safely,Damka-2,Ryzhaya,Female,Female
6/14/1956,recovered safely,Albina,Kozyavka,Female,Female
6/7/1956,recovered safely,Albina,Kozyavka,Female,Female
5/31/1956,recovered safely,Linda,Malyshka,Female,Female
5/14/1956,recovered safely,Albina,Kozyavka,Female,Female
11/4/1955,recovered safely after 3 days,Knopka,Malyshka,Female,Female
2/5/1955,"recovery failed, both dogs died",Bulba,Lisa-2,Female,Female
1/25/1955,"recovered safely, rita died",Rita,Linda,Female,Female
7/26/1954,recovered safely,Lisa-2,Ryzhik-3,Female,Male
7/7/1954,"recovered safely, ryshik-2 died",Damka,Ryzhik-2,Female,Male
7/2/1954,"recovered safely, mishka-2 died",Damka,Mishka-2,Female,Male
9/3/1951,recovered safely,Neputeviy,ZIB,Male,Male
8/28/1951,"failed, both dogs died",Chizhik,Mishka,Male,Male
8/19/1951,recovered safely,Ryzhik,Smeliy,Male,Male
8/15/1951,recovered safely,Chizhik,Mishka,Male,Male
7/29/1951,"parachute failed, both dogs died",Dezik,Lisa,Male,Female
7/22/1951,recovered safely,Dezik,Tsygan,Male,Male
6/26/1951,recovered safely,Lisa-2,Ryzhik-2,Female,Male
